WKT,region
"POLYGON ((644500.452690872 758215.101032015,574572.867612295 832387.899066118,503442.775859619 990973.021662249,516269.513716659 1076095.91834988,621215.550728804 1055106.71094745,653865.428910361 1048110.30847997,662027.89845575 936167.869000351,690851.619037904 785909.194132443,644500.452690872 758215.101032015))",HG
"POLYGON ((825058.651786424 624390.684043435,825058.651786424 646837.475293255,845756.342419375 656457.528686035,862664.31504911 654125.39453021,867328.583360761 653542.360991253,888026.273993712 644213.824367951,909598.514935097 634302.254205693,915720.367094139 625265.23435187,917323.709326269 623516.133735,925340.420486919 623224.616965522,930879.239107005 620163.690886001,933648.648417047 617540.039960698,948661.762045174 614770.630650655,957407.265129519 609960.603954265,977959.197377731 608940.295261091,994575.653237988 605296.335642614,1000114.47185807 602089.651178354,1004632.98178498 598154.174790398,1009297.25009664 596842.349327747,1013815.76002355 596915.228520116,1016147.89417937 595239.007095617,1030359.33669143 595822.040634573,1033930.41711754 592688.235362683,1036481.18885048 592105.201823726,1037574.37673602 591084.893130553,1040198.02766132 591595.047477139,1040926.81958502 590647.617976335,1041436.97393161 585473.195318098,1043550.47051032 583651.215508859,1044497.90001113 578622.55123536,1045372.45031956 574104.041308448,1046338.09961846 567599.573389467,1049089.28913041 567162.298235249,1053061.20511455 561805.677596088,1055939.93321315 556339.738168372,1057397.51706054 551602.590664351,1061624.51021797 545735.815678603,1092015.13343607 515126.554883393,1108340.07252685 496615.240021529,1124227.73646341 485537.602781357,1133592.7126829 480691.136488783,1140661.99434274 478067.485563479,1152687.06108372 469321.982479133,1155602.2287785 462034.063242179,1158462.737079 461013.754549005,1161086.38800431 460503.600202418,1162653.29064025 459793.028076815,1168082.79047178 455037.660774702,1166461.22844156 455256.298351811,1166351.90965301 452122.493079921,1167335.77875 439714.810579005,1177174.46971989 430896.42830229,1178340.5367978 424555.93856614,1180126.07701085 423553.849671058,1179688.80185663 422223.804410314,1180180.73640513 421312.814505695,1178741.37235583 419436.175302179,1180417.59378033 416083.73245318,1183551.39905222 412877.04798892,1187924.15059439 413168.564758398,1190875.75788536 412366.893642333,1193135.01284882 412257.574853779,1195102.75104279 411601.662122453,1192843.49607934 404386.622077868,1193608.72759922 402491.76307626,1194847.6738695 401653.65236401,1196451.01610163 395203.843839305,1206216.82787915 388207.441371828,1202536.42866449 384235.525387688,1200678.00925906 377202.683324027,1183369.2010713 364667.462236465,1163691.81913152 368092.784277834,1119672.78694031 382595.743559373,1083889.10348687 397317.340418022,1030468.65547999 418015.031050973,1005981.24684382 441336.372609228,935142.671860623 492643.324037388,854975.560254122 565230.999637456,825058.651786424 624390.684043435))",VI
